event_type,event_date,day,car
spike,2009-02-20,20,-0.12021807283023715
spike,2009-03-23,1,-0.0011453113328854236
spike,2009-03-23,2,0.010400833912645222
spike,2009-03-23,3,0.04184638512109319
spike,2009-03-23,4,0.09767441758405215
spike,2009-03-23,5,0.089693826542636
spike,2009-03-23,6,0.07251630852634117
spike,2009-03-23,7,0.07109610354790882
spike,2009-03-23,8,0.08888027178946832
spike,2009-03-23,9,0.15949673783183693
spike,2009-03-23,10,0.16666464353670077
spike,2009-03-23,11,0.2422828396489931
spike,2009-03-23,12,0.23114883178100395
spike,2009-03-23,13,0.2608425979267565
spike,2009-03-23,14,0.3086814460790515
spike,2009-03-23,15,0.3311269977748785
spike,2009-03-23,16,0.30393107442691997
spike,2009-03-23,17,0.36938711150672904
spike,2009-03-23,18,0.3510974073139309
spike,2009-03-23,19,0.3657356259402464
spike,2009-03-23,20,0.3703515193342387
spike,2009-05-06,1,-0.040131918709917946
spike,2009-05-06,2,-0.09667937993489682
spike,2009-05-06,3,-0.140297808069914
spike,2009-05-06,4,-0.10865976960281848
spike,2009-05-06,5,-0.16252057910780496
spike,2009-05-06,6,-0.17492325106527146
spike,2009-05-06,7,-0.17065897751290196
spike,2009-05-06,8,-0.1676571664417108
spike,2009-05-06,9,-0.17907263304949264
spike,2009-05-06,10,-0.18389423901044058
spike,2009-05-06,11,-0.19708430505866406
spike,2009-05-06,12,-0.17242305340010072
spike,2009-05-06,13,-0.1979367237698951
spike,2009-05-06,14,-0.23447515550779624
spike,2009-05-06,15,-0.2758252183140828
spike,2009-05-06,16,-0.31648368782481795
spike,2009-05-06,17,-0.30414810018991256
spike,2009-05-06,18,-0.27384391483527837
spike,2009-05-06,19,-0.22965013324639072
spike,2009-05-06,20,-0.23143679718711443
spike,2009-08-05,1,0.07052170566958621
spike,2009-08-05,2,0.06578877933149302
spike,2009-08-05,3,0.06754559430136525
spike,2009-08-05,4,0.04448136128916317
spike,2009-08-05,5,0.05482469916376607
spike,2009-08-05,6,0.06608775094380598
spike,2009-08-05,7,0.08530510138606967
spike,2009-08-05,8,0.08105707307975132
spike,2009-08-05,9,0.0603863625492277
spike,2009-08-05,10,0.06422145050213654
spike,2009-08-05,11,0.03205273462981104
spike,2009-08-05,12,0.045769457474018754
spike,2009-08-05,13,0.06045749067974554
spike,2009-08-05,14,0.061731881250065054
spike,2009-08-05,15,0.11272957697576194
spike,2009-08-05,16,0.14134415537488296
spike,2009-08-05,17,0.12021139766222406
spike,2009-08-05,18,0.12343884772442815
spike,2009-08-05,19,0.1107312784611772
spike,2009-08-05,20,0.08138083997518783
spike,2011-02-23,1,-0.013394991283797134
spike,2011-02-23,2,0.005877373885939313
spike,2011-02-23,3,-0.00023782332271003563
spike,2011-02-23,4,-0.001394150623392482
spike,2011-02-23,5,-0.009354873740922929
spike,2011-02-23,6,-0.026335901767027874
spike,2011-02-23,7,-0.023780845068126152
spike,2011-02-23,8,-0.02278351271007681
spike,2011-02-23,9,0.010539827816138499
spike,2011-02-23,10,0.0800086892828713
spike,2011-02-23,11,0.06471216843846875
spike,2011-02-23,12,0.12961212388834198
spike,2011-02-23,13,0.1306215097897846
spike,2011-02-23,14,0.11973435965690465
spike,2011-02-23,15,0.1364429740389635
spike,2011-02-23,16,0.1415619363129725
spike,2011-02-23,17,0.10392822280569441
spike,2011-02-23,18,0.13901930226174036
spike,2011-02-23,19,0.13932782737183824
spike,2011-02-23,20,0.13462069044872657
spike,2011-10-11,1,0.045432115971256994
spike,2011-10-11,2,0.07076369610179838
spike,2011-10-11,3,0.10052752355571141
spike,2011-10-11,4,0.06629992761570568
spike,2011-10-11,5,0.07352029013766781
spike,2011-10-11,6,0.07475409973824176
spike,2011-10-11,7,0.059487539462849896
spike,2011-10-11,8,0.08454686622694518
spike,2011-10-11,9,0.04448735408337528
spike,2011-10-11,10,0.05705623414089622
spike,2011-10-11,11,0.03736546822142137
spike,2011-10-11,12,0.032992042831483416
spike,2011-10-11,13,0.008405953491299845
spike,2011-10-11,14,-0.0036099596051451834
spike,2011-10-11,15,0.017931290543749374
spike,2011-10-11,16,0.03006764794831375
spike,2011-10-11,17,-0.0019057050286087687
spike,2011-10-11,18,-0.002851092078767315
spike,2011-10-11,19,-0.0009394394697842638
spike,2011-10-11,20,-0.020317775893686486
spike,2015-02-03,1,-0.04317207957606721
spike,2015-02-03,2,-0.005456099067903959
spike,2015-02-03,3,-0.0316107827977246
spike,2015-02-03,4,-0.04209219847123817
spike,2015-02-03,5,-0.07226614067832757
spike,2015-02-03,6,-0.06212582278182162
spike,2015-02-03,7,-0.0734021225358614
spike,2015-02-03,8,-0.08482532633827639
spike,2015-02-03,9,-0.09531673946771083
spike,2015-02-03,10,-0.10819834969886802
spike,2015-02-03,11,-0.09295360368959192
spike,2015-02-03,12,-0.08877905489773659
spike,2015-02-03,13,-0.0720635287911579
spike,2015-02-03,14,-0.06947046402421812
spike,2015-02-03,15,-0.059560411614785716
spike,2015-02-03,16,-0.09176309263476756
spike,2015-02-03,17,-0.10462825091110159
spike,2015-02-03,18,-0.1288463725163551
spike,2015-02-03,19,-0.11997607659654749
spike,2015-02-03,20,-0.10502234070255748
spike,2015-03-26,1,-0.009814274063105706
spike,2015-03-26,2,0.016772562115146876
spike,2015-03-26,3,0.011842669210376348
spike,2015-03-26,4,0.01055989316317472
spike,2015-03-26,5,-0.020298937420685607
spike,2015-03-26,6,-0.04381464348276719
spike,2015-03-26,7,-0.0772402580698735
spike,2015-03-26,8,-0.07895512809011619
spike,2015-03-26,9,-0.05205250951704604
spike,2015-03-26,10,-0.06234847416073666
spike,2015-03-26,11,-0.07054856720069577
spike,2015-03-26,12,-0.05850908624752621
spike,2015-03-26,13,-0.06796985691811147
spike,2015-03-26,14,-0.0716485854810763
spike,2015-03-26,15,-0.058830302865991745
spike,2015-03-26,16,-0.05317554332643825
spike,2015-03-26,17,-0.0460357020855452
spike,2015-03-26,18,-0.02761558371383645
spike,2015-03-26,19,-0.03444378651976777
spike,2015-03-26,20,-0.03938730369528199
spike,2015-08-28,1,0.008587750331898777
spike,2015-08-28,2,0.014777590888509197
spike,2015-08-28,3,0.041794672044588144
spike,2015-08-28,4,0.06457386503995921
spike,2015-08-28,5,0.05286538807895051
spike,2015-08-28,6,0.0670381397029411
spike,2015-08-28,7,0.06465691485025836
spike,2015-08-28,8,0.07789474624529893
spike,2015-08-28,9,0.07651260087584516
spike,2015-08-28,10,0.08060662032116264
spike,2015-08-28,11,0.09327501257919771
spike,2015-08-28,12,0.0812350273262822
spike,2015-08-28,13,0.08023471321737173
spike,2015-08-28,14,0.10455258690024678
spike,2015-08-28,15,0.10919364033282561
spike,2015-08-28,16,0.10457424354038547
spike,2015-08-28,17,0.08598709034492497
spike,2015-08-28,18,0.0916487973839904
spike,2015-08-28,19,0.07607828555233292
spike,2015-08-28,20,0.07458705713039467
spike,2015-11-03,1,-0.0030644373905965314
spike,2015-11-03,2,-0.012587032233643245
spike,2015-11-03,3,-0.008246391656396044
spike,2015-11-03,4,-0.0008964889791014457
spike,2015-11-03,5,-0.008626936578132354
spike,2015-11-03,6,-0.00910316716116557
spike,2015-11-03,7,-0.009977868339842641
spike,2015-11-03,8,-0.007970156357391804
spike,2015-11-03,9,-0.015546910231220266
spike,2015-11-03,10,-0.04178115042238763
spike,2015-11-03,11,-0.04772848974029588
spike,2015-11-03,12,-0.059002423478785836
spike,2015-11-03,13,-0.04735625181337631
spike,2015-11-03,14,-0.04746730558578443
spike,2015-11-03,15,-0.048481127294428175
spike,2015-11-03,16,-0.07759759478588185
spike,2015-11-03,17,-0.08608577329833035
spike,2015-11-03,18,-0.08241691185073954
spike,2015-11-03,19,-0.09265117766262768
spike,2015-11-03,20,-0.07307781342274347
spike,2016-01-27,1,0.0003061762415429974
spike,2016-01-27,2,-0.045668909101861443
spike,2016-01-27,3,-0.03228717118092378
spike,2016-01-27,4,-0.009085541989094469
spike,2016-01-27,5,-0.03669396080720325
spike,2016-01-27,6,-0.03549776508767697
spike,2016-01-27,7,-0.02507209659225589
spike,2016-01-27,8,-0.0478992324399444
spike,2016-01-27,9,-0.05763071288458126
spike,2016-01-27,10,-0.03267786904054616
spike,2016-01-27,11,-0.013195827181521996
spike,2016-01-27,12,-0.005373596530293484
spike,2016-01-27,13,0.00109737846334226
spike,2016-01-27,14,0.0035424604112351196
spike,2016-01-27,15,0.011515720265821358
spike,2016-01-27,16,0.02611045161186887
spike,2016-01-27,17,0.03840637692771166
spike,2016-01-27,18,0.06043459086432211
spike,2016-01-27,19,0.07581120091054669
spike,2016-01-27,20,0.08458396311935622
spike,2016-02-26,1,-0.01742008835855942
spike,2016-02-26,2,-0.006680282541120084
spike,2016-02-26,3,-0.02349910778513533
spike,2016-02-26,4,-0.03620612832578138
spike,2016-02-26,5,-0.039206559813452425
spike,2016-02-26,6,-0.0526910862841376
spike,2016-02-26,7,-0.0560017470791632
spike,2016-02-26,8,-0.08056215648332675
spike,2016-02-26,9,-0.07291091094968952
spike,2016-02-26,10,-0.07508799337814609
spike,2016-02-26,11,-0.08096778319321592
spike,2016-02-26,12,-0.07519351678671105
spike,2016-02-26,13,-0.07928777313680453
spike,2016-02-26,14,-0.07801753638625884
spike,2016-02-26,15,-0.09587000500597677
spike,2016-02-26,16,-0.07720398266718614
spike,2016-02-26,17,-0.07591949053428702
spike,2016-02-26,18,-0.08652145154640627
spike,2016-02-26,19,-0.08390362298761843
spike,2016-02-26,20,-0.10724812351649687
spike,2016-04-11,1,0.0067535923025575815
spike,2016-04-11,2,0.00078939152555827
spike,2016-04-11,3,0.01888850653382371
spike,2016-04-11,4,0.042011899096172825
spike,2016-04-11,5,0.04355045956786317
spike,2016-04-11,6,0.03473716812692912
spike,2016-04-11,7,0.0422512009628752
spike,2016-04-11,8,0.03998256905751823
spike,2016-04-11,9,0.012252077264240858
spike,2016-04-11,10,-0.007840711634120829
spike,2016-04-11,11,-0.021490753368177413
spike,2016-04-11,12,-0.02863161344235117
spike,2016-04-11,13,-0.030811616052108505
spike,2016-04-11,14,-0.040505533905589544
spike,2016-04-11,15,-0.05586642779425742
spike,2016-04-11,16,-0.06143307472274911
spike,2016-04-11,17,-0.04553737438362877
spike,2016-04-11,18,-0.07154781098082866
spike,2016-04-11,19,-0.07378065621566023
spike,2016-04-11,20,-0.07301710576149632
spike,2016-08-17,1,0.0021769699486739536
spike,2016-08-17,2,-0.005196090513329524
spike,2016-08-17,3,-0.01270767915419796
spike,2016-08-17,4,-0.014681538161107198
spike,2016-08-17,5,-0.010273390048422561
spike,2016-08-17,6,0.008097033762852198
spike,2016-08-17,7,0.011200904063920845
spike,2016-08-17,8,0.005019124986544259
spike,2016-08-17,9,-0.0010006601541597679
spike,2016-08-17,10,0.03878664946179547
spike,2016-08-17,11,0.0348133447934498
spike,2016-08-17,12,0.036202682823528315
spike,2016-08-17,13,0.03596928757725713
spike,2016-08-17,14,0.038232510722070394
spike,2016-08-17,15,0.08612463903064509
spike,2016-08-17,16,0.10201328375655164
spike,2016-08-17,17,0.12653711216740057
spike,2016-08-17,18,0.11199326441796076
spike,2016-08-17,19,0.1331073680959951
spike,2016-08-17,20,0.125366302801387
spike,2016-12-02,1,0.010912001375371835
spike,2016-12-02,2,-0.010351400814137025
spike,2016-12-02,3,0.005175945016033554
spike,2016-12-02,4,0.020473991195590978
spike,2016-12-02,5,0.012152692685350897
spike,2016-12-02,6,0.01735108933338384
spike,2016-12-02,7,-0.009546316049862977
spike,2016-12-02,8,-0.014388018547530409
spike,2016-12-02,9,-0.009689353720216898
spike,2016-12-02,10,-0.000421084208159183
spike,2016-12-02,11,-0.012046646110376242
spike,2016-12-02,12,-0.008151170377533158
spike,2016-12-02,13,-0.0034224635650195057
spike,2016-12-02,14,-0.004473770588114823
spike,2016-12-02,15,-0.02334319822296146
spike,2016-12-02,16,-0.025671044233137815
spike,2016-12-02,17,-0.029562424472043602
spike,2016-12-02,18,-0.03602353415611214
spike,2016-12-02,19,-0.0411315744802829
spike,2016-12-02,20,-0.041385649416468204
spike,2018-06-28,1,-0.002258538703930172
spike,2018-06-28,2,-0.00015878742553875145
spike,2018-06-28,3,0.010801179402266853
spike,2018-06-28,4,0.00622836993010069
spike,2018-06-28,5,0.011150690805654829
spike,2018-06-28,6,0.01485378726218433
spike,2018-06-28,7,0.02753861625327847
spike,2018-06-28,8,0.022999049777705734
spike,2018-06-28,9,-0.0010593645303152675
spike,2018-06-28,10,0.006635708368793788
spike,2018-06-28,11,0.01801034881829009
spike,2018-06-28,12,0.022869273184891244
spike,2018-06-28,13,0.027537448142788704
spike,2018-06-28,14,0.06378855711185956
spike,2018-06-28,15,0.07005608912621661
spike,2018-06-28,16,0.0671749774335546
spike,2018-06-28,17,0.07173702720223568
spike,2018-06-28,18,0.033865355630221215
spike,2018-06-28,19,0.031554006885415695
spike,2018-06-28,20,0.0802526243217702
spike,2019-01-09,1,0.018900827772002228
spike,2019-01-09,2,-0.001516307283745199
spike,2019-01-09,3,-0.00852871356080893
spike,2019-01-09,4,-0.008197116524320727
spike,2019-01-09,5,-0.011408848955946297
spike,2019-01-09,6,0.0035360429189082825
spike,2019-01-09,7,0.006916943415673737
spike,2019-01-09,8,-0.00380489988341803
spike,2019-01-09,9,-0.01265076973079424
spike,2019-01-09,10,-0.022710241257886052
spike,2019-01-09,11,0.01287082765007385
spike,2019-01-09,12,0.009459683219128242
spike,2019-01-09,13,0.035469292108057764
spike,2019-01-09,14,0.04054145148316215
spike,2019-01-09,15,0.041837383445614836
spike,2019-01-09,16,0.017777265401917687
spike,2019-01-09,17,0.020576475466786988
spike,2019-01-09,18,0.025072261795624787
spike,2019-01-09,19,0.021190709906960536
spike,2019-01-09,20,0.023259231475001224
spike,2019-06-24,1,0.0018958676467985183
spike,2019-06-24,2,0.004436546574477868
spike,2019-06-24,3,0.00588536295197055
spike,2019-06-24,4,0.011009670104926872
spike,2019-06-24,5,0.010800648729550558
spike,2019-06-24,6,0.011813397984130114
spike,2019-06-24,7,0.008536133266918981
spike,2019-06-24,8,0.012782034768508008
spike,2019-06-24,9,0.012223493024476412
spike,2019-06-24,10,0.02647053361533728
spike,2019-06-24,11,0.011452272301189134
spike,2019-06-24,12,0.01069550129729967
spike,2019-06-24,13,0.0074360764970435
spike,2019-06-24,14,0.018759710330080143
spike,2019-06-24,15,0.01516984621372705
spike,2019-06-24,16,0.045276261490583024
spike,2019-06-24,17,0.03893003719130172
spike,2019-06-24,18,0.0411200478198878
spike,2019-06-24,19,0.0315918184683683
spike,2019-06-24,20,0.03075934778553436
spike,2020-03-25,1,0.10915029933744817
spike,2020-03-25,2,0.04624831423228978
spike,2020-03-25,3,-0.005850752859907805
spike,2020-03-25,4,-0.11714212466531093
spike,2020-03-25,5,-0.07779590757310059
spike,2020-03-25,6,-0.16140879485960036
spike,2020-03-25,7,-0.2381689459737981
spike,2020-03-25,8,-0.24372679553908885
spike,2020-03-25,9,-0.30056123408022856
spike,2020-03-25,10,-0.23633588967809857
spike,2020-03-25,11,-0.20223184340521305
spike,2020-03-25,12,-0.13394501548740348
spike,2020-03-25,13,-0.18049509124502194
spike,2020-03-25,14,-0.17176462899728628
spike,2020-03-25,15,-0.1411209229984446
spike,2020-03-25,16,-0.22394247431843853
spike,2020-03-25,17,-0.21264402629274126
spike,2020-03-25,18,-0.28179600964898605
spike,2020-03-25,19,-0.2695773569591322
spike,2020-03-25,20,-0.28733957293191553
spike,2020-04-24,1,-0.010478551384063796
spike,2020-04-24,2,-0.02383101613715769
spike,2020-04-24,3,0.08323280803957411
spike,2020-04-24,4,0.1671222962606144
spike,2020-04-24,5,0.15261569745258186
spike,2020-04-24,6,0.10863946133488271
spike,2020-04-24,7,0.055862982728984566
spike,2020-04-24,8,0.018746725780230948
spike,2020-04-24,9,-0.0015477324781103807
spike,2020-04-24,10,0.01751602778685323
spike,2020-04-24,11,0.08960834318867143
spike,2020-04-24,12,0.06283225170960319
spike,2020-04-24,13,0.05131475056551775
spike,2020-04-24,14,0.022821543076178147
spike,2020-04-24,15,0.03403985580775094
spike,2020-04-24,16,0.026864179934460008
spike,2020-04-24,17,0.12932691991685452
spike,2020-04-24,18,0.14734213190457612
spike,2020-04-24,19,0.18123402834794008
spike,2020-04-24,20,0.22213226305914802
spike,2020-06-03,1,0.06976582303455321
spike,2020-06-03,2,0.24555144455471428
spike,2020-06-03,3,0.2795769111415714
spike,2020-06-03,4,0.37239646176909
spike,2020-06-03,5,0.3073657974031225
spike,2020-06-03,6,0.2380061006877784
spike,2020-06-03,7,0.17179228191289309
spike,2020-06-03,8,0.28843821875507464
spike,2020-06-03,9,0.28195133905916603
spike,2020-06-03,10,0.2880109916115061
spike,2020-06-03,11,0.2846485017594758
spike,2020-06-03,12,0.2863188005139136
spike,2020-06-03,13,0.2555699099086701
spike,2020-06-03,14,0.2343727372493588
spike,2020-06-03,15,0.2288371989901177
spike,2020-06-03,16,0.1866553585865944
spike,2020-06-03,17,0.21007784867279375
spike,2020-06-03,18,0.20424651845321196
spike,2020-06-03,19,0.267986165094889
spike,2020-06-03,20,0.2379394938621647
spike,2021-12-28,1,0.020276777599095262
spike,2021-12-28,2,0.006356052700866241
spike,2021-12-28,3,0.013966691017177664
spike,2021-12-28,4,0.020066513607427647
spike,2021-12-28,5,0.049283702617778785
spike,2021-12-28,6,0.06544340970139115
spike,2021-12-28,7,0.08738031728753042
spike,2021-12-28,8,0.09086383970003806
spike,2021-12-28,9,0.13411088295268794
spike,2021-12-28,10,0.12105323010762373
spike,2021-12-28,11,0.12558150977804827
spike,2021-12-28,12,0.10949671476703032
spike,2021-12-28,13,0.16315311090876006
spike,2021-12-28,14,0.1421450056627264
spike,2021-12-28,15,0.15464452336824985
spike,2021-12-28,16,0.1484762526655991
spike,2021-12-28,17,0.1539019869124377
spike,2021-12-28,18,0.157269602492933
spike,2021-12-28,19,0.16025377872408106
spike,2021-12-28,20,0.18836134953543693
spike,2022-03-01,1,-0.038646269053017906
spike,2022-03-01,2,-0.055642717707479784
spike,2022-03-01,3,-0.09055036466185792
spike,2022-03-01,4,-0.14154645126822812
spike,2022-03-01,5,-0.2381832924285
spike,2022-03-01,6,-0.1893432022378752
spike,2022-03-01,7,-0.16660371372358485
spike,2022-03-01,8,-0.16261978771287425
spike,2022-03-01,9,-0.1625569328504665
spike,2022-03-01,10,-0.14985974680274053
spike,2022-03-01,11,-0.10328660385239868
spike,2022-03-01,12,-0.07800599607594087
spike,2022-03-01,13,-0.09702542229785448
spike,2022-03-01,14,-0.09899157316305329
spike,2022-03-01,15,-0.13381701061154844
spike,2022-03-01,16,-0.1282431627400454
spike,2022-03-01,17,-0.13013719480877928
spike,2022-03-01,18,-0.12441384296007021
spike,2022-03-01,19,-0.1207287913412419
spike,2022-03-01,20,-0.12194091901337126
spike,2022-04-14,1,0.0323701147578744
spike,2022-04-14,2,0.016808078163398108
spike,2022-04-14,3,0.022167296992555655
spike,2022-04-14,4,0.02645178354508092
spike,2022-04-14,5,0.09458195283018424
